"","state","obbt_date_counseling","obbt_date_doselimit","obbt_date_clincontact","nal_date_any_nal","nal_date_nal_protocol_standing","nal_date_nal_Rx_prescriptive_auth","gsl_date_anygsl","gsl_date_gsl_arrest","copnal_date_eff_nalcop","copnal_date_eff_all","pdmp_date_AnyPDMP","pdmp_date_Any_PMP_Horowitz","pdmp_date_Op_PDMP","pdmp_date_mustaccess","pdmp_date_electronic","mm_date_effMML","mm_date_effREC","mm_date_meddisp_leg","mm_date_active_medlegdisp","mm_date_active_dispREC","copnal_date_all_prescribe"
"12","HI",NA,NA,NA,2016-07-01,2016-07-01,2018-07-01,2015-07-07,2015-07-07,NA,NA,1943-01-01,1990-01-01,2012-02-01,NA,1996-06-18,2000-06-14,NA,2016-01-04,2017-08-08,NA,NA
"13","IA",NA,NA,NA,2016-06-01,2016-06-01,NA,2018-07-01,NA,NA,NA,2006-05-31,2006-05-01,2009-03-01,NA,2006-05-31,NA,NA,NA,NA,NA,NA
"14","ID",NA,NA,NA,2015-07-01,NA,2015-07-01,2018-07-01,NA,NA,NA,1967-01-01,1990-01-01,2008-04-01,NA,2000-04-04,NA,NA,NA,NA,NA,NA
"15","IL",NA,NA,NA,2010-01-01,2010-01-01,NA,2012-06-01,2021-04-27,NA,NA,1961-01-01,1990-01-01,2009-12-01,NA,2000-04-01,2014-01-01,NA,2014-01-01,2015-11-09,NA,NA
"16","IN",2019-07-01,NA,NA,2015-05-01,2015-05-01,NA,2014-03-26,2016-07-01,NA,NA,1987-12-31,1990-01-01,2007-07-01,2014-07-01,1994-01-01,NA,NA,NA,NA,NA,NA
"17","KS",NA,NA,NA,2017-07-01,2017-07-01,NA,NA,NA,NA,NA,2008-07-01,2008-07-01,2011-04-01,NA,2008-07-01,NA,NA,NA,NA,NA,NA
"18","KY",2015-04-03,2015-04-03,2015-04-03,2013-07-01,2013-07-01,NA,2015-03-25,NA,NA,NA,1998-07-15,1998-07-01,1999-07-01,2012-07-20,1998-07-15,NA,NA,NA,NA,NA,NA
"19","LA",NA,NA,NA,2015-09-01,2015-09-01,NA,2014-08-01,NA,2016-01-20,2016-01-20,2006-07-01,2006-07-01,2009-01-01,NA,2006-07-01,NA,NA,2016-05-19,2019-08-06,NA,NA
"20","MA",NA,NA,NA,2012-09-01,2014-07-01,NA,2012-08-02,NA,NA,NA,1992-01-01,1992-12-01,2011-01-01,2014-07-01,1994-01-01,2013-01-01,2016-12-15,2013-05-24,2015-06-24,2018-11-20,NA
"21","MD",NA,NA,NA,2013-10-01,2015-10-01,NA,2009-10-01,2015-10-01,2019-06-17,NA,2011-05-10,2011-10-01,2013-12-01,NA,2011-10-01,2003-10-01,NA,2014-06-01,2017-07-06,NA,NA
"22","ME",NA,NA,NA,2014-05-01,2015-11-01,2017-07-01,2019-09-19,2019-09-19,2018-06-30,2019-02-06,2003-06-23,2004-01-01,2005-01-01,NA,2003-09-13,1999-12-23,2017-01-30,2009-12-04,2011-03-31,NA,NA
